,Color_1,Color_2,similarity
0,3,1,6
1,9,4,6
2,9,7,7
3,9,1,2
4,2,6,4
5,9,5,5
6,7,3,4
7,4,8,4
8,4,9,5
9,5,6,4
10,6,9,6
11,6,5,4
12,3,8,4
13,9,6,6
14,4,7,5
15,4,6,5
16,4,2,3
17,8,7,3
18,2,5,3
19,1,3,6
20,9,8,3
21,3,9,5
22,7,4,4
23,9,3,5
24,6,6,0
25,2,7,5
26,5,3,3
27,1,5,5
28,5,1,5
29,3,3,0
30,9,9,0
31,7,9,7
32,5,2,3
33,7,1,7
34,2,2,0
35,6,8,2
36,5,9,6
37,5,8,4
38,6,7,2
39,7,8,4
40,1,8,5
41,8,9,4
42,1,9,3
43,8,6,3
44,8,4,4
45,6,1,6
46,5,5,0
47,6,3,2
48,2,8,5
49,5,7,4
50,4,1,6
51,7,6,2
52,2,4,3
53,1,1,0
54,3,2,3
55,9,2,2
56,4,5,1
57,3,7,3
58,8,5,5
59,7,5,3
60,2,3,3
61,1,4,6
62,5,4,1
63,6,4,3
64,3,5,2
65,1,6,7
66,8,8,0
67,3,4,1
68,7,2,5
69,8,1,7
70,1,7,7
71,4,4,0
72,3,6,2
73,8,3,5
74,1,2,3
75,6,2,5
76,8,2,5
77,2,9,3
78,4,3,2
79,7,7,0
80,2,1,3
